CustomerID,CustomerName,Gender,Age,Mobile Number,Annual Income (k$),Spending Score (1-100)
121,Ramesh,Male,27,9872346324,67,56
122,Swathi,Female,38,7568649865,67,40
123,Akshaya,Female,40,8654168795,69,58
124,Murali,Male,39,6896487574,69,91
125,Akhila,Female,23,9789431554,70,29
126,Suganthi,Female,31,7654856455,70,77
127,Poovarasan,Male,43,8976454825,71,35
128,Fahadh Faazil,Male,40,8648541655,71,95
129,Rajini,Male,59,9878534551,71,11
130,Kalaiselvam,Male,38,8978387875,71,75
131,Pugazhendhi,Male,47,8746533378,71,9
132,Rajendran,Male,39,9783245341,71,75
133,Kanimozhi,Female,25,9786548300,72,34
134,Nisha,Female,31,8534152347,72,71
135,Sudhakar,Male,20,9879456237,73,5
136,Dharshini,Female,29,8743547352,73,88
137,Gayathri,Female,44,9785467544,73,7
138,Krishna,Male,32,8742465343,73,73
139,Gokul,Male,19,9785126534,74,10
140,Priya,Female,35,8712534741,74,72
141,Gowthami,Female,57,7565432535,75,5
142,Vijay,Male,32,8545421547,75,93
143,Vino,Female,28,8754335354,76,40
144,Chitra,Female,32,9974653542,76,87
145,Harish,Male,25,7854374355,77,12
146,Prasath,Male,28,8754433214,77,97
147,Prasanna,Male,48,8898654212,77,36
148,Divya,Female,32,9875532156,77,74
149,Harini,Female,34,8765135473,78,22
150,Poorna Chandran,Male,34,9886742357,78,90
151,Shankar,Male,43,8742354232,78,17
152,Azharuddhin,Male,39,9653244525,78,88
153,Lakshmi,Female,44,8765545365,78,20
154,Thendral,Female,38,7423534535,78,76
155,Deepa,Female,47,8732245552,78,16
156,Amritha,Female,27,8867864526,78,89
157,Tamilarasan,Male,37,6998656342,78,1
158,Ramya,Female,30,8254623873,78,78
159,Rajesh,Male,34,9344574651,78,1
160,Priya,Female,30,6678897663,78,73
161,Gomathi,Female,56,9865447653,79,35
162,Ezhilarashi,Female,29,6787654635,79,83
163,Lokesh,Male,19,8358468643,81,5
164,Divya,Female,31,8756563242,81,93
165,Rangaraj,Male,50,8256745353,85,26
166,Priyanka,Female,36,6978653466,85,75
167,Thangaraj,Male,42,9536843886,86,20
168,Kala,Female,33,9587434561,86,95
169,Latha,Female,36,8745355354,87,27
170,Arun,Male,32,8324533554,87,63
171,Sanjay,Male,40,6987335452,87,13
172,Jeeva,Male,28,9523723412,87,75
173,Lakshmikanth,Male,36,8534532353,87,10
174,Thangaraj,Male,36,6386678925,87,92
175,Gowri,Female,52,9637652523,88,13
176,Anushya,Female,30,8534796512,88,86
177,Rangaraj,Male,58,9785365352,88,15
178,Eshwaran,Male,27,8531420472,88,69
179,Poovarasan,Male,59,8437512553,93,14
180,Sundhar,Male,35,9547622301,93,90
181,Divya,Female,37,7435866412,97,32
182,Shanthi,Female,32,8335721630,97,86
183,Santhosh,Male,46,8389783536,98,15
184,Ramya ,Female,29,9846543422,98,88
185,Sankari,Female,41,8235668720,99,39
186,Alagenthran,Male,30,9478253312,99,97
187,Gowthami,Female,54,7422636642,101,24
188,Ramesh,Male,28,6765982324,101,68
189,Latha,Female,41,8524653354,103,17
190,Dhanshika,Female,36,7456653233,103,85
191,Rekha,Female,34,8305545350,103,23
192,Deepika,Female,32,6248797760,103,69
193,Lokesh,Male,33,8648634435,113,8
194,Mehreen,Female,38,9543253871,113,91
195,Seetha,Female,47,6874565435,120,16
196,Gowri,Female,35,9554132443,120,79
197,Akshaya,Female,45,8499256736,126,28
198,Shankar,Male,32,9548674120,126,74
199,Wazim Nazar,Male,32,8669845675,137,18
200,Surya,Male,30,9754132320,137,83
